class_id,voxel_count,ratio
0,60278570323,0.9548542633201847
1,21454497,0.00033985407779360473
3,3312109,5.246609835443349e-05
4,6478429,0.00010262279807102189
5,69352657,0.0010985940750450212
6,908876156,0.014397227202575592
7,15228842,0.0002412353947880724
9,1362827630,0.0215881326598006
10,167131779,0.002647483025216091
11,17991813,0.00028500276724968145
16,28938779,0.0004584102833787217
17,6071299,9.617357715980172e-05
18,1211456,1.9190301299887347e-05
19,25020960,0.00039634931950679954
20,216088736,0.003422995099575894
